#SA  FB
0.30073     0.30372     
0.30291     0.30377     
0.29958     0.30374     
0.30325     0.30389     
0.30367     0.30375     
0.30946     0.30367     
0.30125     0.3039      
0.3123      0.30383     
0.30415     0.30384     
0.30457     0.30387     
0.30212     0.30378     
0.30055     0.30383     
0.30476     0.30381     
0.30283     0.30383     
0.30332     0.30381     
0.30828     0.30378     
0.30288     0.3038      
0.30447     0.3039      
0.29987     0.3038      
0.30334     0.30386     
0.30129     0.3038      
0.30204     0.30389     
0.30039     0.30381     
0.30407     0.30381     
0.3061      0.3038      
0.30299     0.30375     
0.30113     0.3038      
0.30438     0.30389     
0.30361     0.30377     
0.30198     0.3039      
0.30082     0.30389     
0.30345     0.30378     
0.30042     0.30363     
0.30143     0.30377     
0.30456     0.30378     
0.30232     0.30374     
0.30618     0.30392     
0.3011      0.30392     
0.302       0.3039      
0.30343     0.30386     
0.30308     0.3037      
0.30476     0.30375     
0.30363     0.30395     
0.30058     0.30386     
0.30151     0.30374     
0.30001     0.30381     
0.30494     0.30381     
0.3016      0.30377     
0.30076     0.30393     
0.3018      0.30383     
0.30235     0.30374     
0.30059     0.30389     
0.30262     0.30375     
0.30091     0.30387     
0.2992      0.30384     
0.30393     0.30374     
0.3036      0.30378     
0.3009      0.3038      
0.29936     0.30383     
0.30421     0.30374     
0.30392     0.30384     
0.30398     0.30384     
0.30201     0.30386     
0.29893     0.30393     
0.30206     0.30389     
0.30273     0.30386     
0.30128     0.30386     
0.30439     0.30377     
0.30195     0.3037      
0.29908     0.30381     
0.30392     0.30389     
0.30203     0.30383     
0.30332     0.30392     
0.30541     0.3039      
0.29995     0.30383     
0.3038      0.30381     
0.30494     0.3039      
0.30073     0.30392     
0.30134     0.3037      
0.3045      0.30384     
0.30403     0.30378     
0.3021      0.30386     
0.30303     0.30375     
0.30268     0.30381     
0.30222     0.3039      
0.3061      0.30389     
0.30511     0.30378     
0.30135     0.30406     
0.30169     0.30386     
0.30332     0.30383     
0.30264     0.3039      
0.30654     0.30395     
0.30116     0.3039      
0.29855     0.30386     
0.29963     0.30395     
0.30067     0.30384     
0.30428     0.30389     
0.30625     0.30389     
0.29931     0.30392     
0.29891     0.30378     
0.29963     0.30396     
0.303       0.30384     
0.30499     0.30393     
0.30178     0.30384     
0.30465     0.30386     
0.30206     0.30375     
0.3012      0.30387     
0.30741     0.30375     
0.30428     0.30381     
0.30525     0.3038      
0.30151     0.30387     
0.30053     0.30384     
0.30303     0.30375     
0.29969     0.30383     
0.30398     0.30381     
0.30522     0.30378     
0.30401     0.30383     
0.30015     0.3038      
0.30064     0.3038      
0.30238     0.3038      
0.30526     0.3039      
0.30174     0.30384     
0.30192     0.30386     
0.30305     0.30383     
0.30447     0.30386     
0.30303     0.30392     
0.30155     0.30377     
0.30288     0.30372     
0.29989     0.30381     
0.30245     0.30375     
0.30486     0.3038      
0.30216     0.30381     
0.30204     0.30377     
0.30518     0.30364     
0.30233     0.30375     
0.30137     0.30375     
0.302       0.30378     
0.30345     0.30383     
0.30895     0.30387     
0.30174     0.3038      
0.29885     0.30377     
0.30329     0.30381     
0.3025      0.30375     
0.30209     0.30383     
0.30546     0.30378     
0.30488     0.30369     
0.3041      0.30384     
0.30166     0.30372     
0.30415     0.30381     
0.30544     0.30375     
0.30418     0.30369     
0.30294     0.30375     
0.29801     0.3038      
0.30441     0.30383     
0.30338     0.30383     
0.29951     0.30375     
0.30172     0.30387     
0.30367     0.30374     
0.30215     0.30374     
0.29882     0.3038      
0.30428     0.30378     
0.30251     0.30372     
0.30389     0.30375     
0.3045      0.30384     
0.30367     0.30377     
0.29949     0.30381     
0.29904     0.30375     
0.30453     0.30386     
0.30099     0.3038      
0.30248     0.30384     
0.30479     0.30383     
0.302       0.3039      
0.29936     0.30383     
0.30158     0.30375     
0.30174     0.30389     
0.30625     0.3039      
0.30267     0.30395     
0.29997     0.30384     
0.30238     0.30384     
0.30248     0.30396     
0.30244     0.30383     
0.29907     0.3039      
0.30166     0.30389     
0.30451     0.30383     
0.30016     0.30392     
0.3012      0.30395     
0.30567     0.30384     
0.3086      0.30384     
0.30218     0.30381     
0.30149     0.30374     
0.3039      0.30395     
0.30224     0.30381     
0.30351     0.30381     
0.30041     0.30375     
0.30215     0.30387     
0.30914     0.30377     
0.30221     0.30384     
0.30282     0.30383     
0.30152     0.30384     
0.29916     0.30369     
0.2983      0.30389     
0.30024     0.30386     
0.30203     0.30381     
