#SA  FB
0.30308     0.30415     
0.30471     0.30418     
0.30012     0.30422     
0.30094     0.30421     
0.30447     0.30422     
0.30335     0.30425     
0.30912     0.30413     
0.30296     0.30412     
0.30146     0.3041      
0.29908     0.30425     
0.30174     0.30421     
0.30381     0.30425     
0.29716     0.30431     
0.30035     0.30418     
0.30499     0.30409     
0.30332     0.30422     
0.30296     0.30416     
0.30557     0.30407     
0.30505     0.30416     
0.29785     0.30413     
0.30326     0.30409     
0.30303     0.30419     
0.29998     0.3041      
0.30201     0.30416     
0.30338     0.30409     
0.3047      0.30413     
0.30116     0.30412     
0.30753     0.30425     
0.30039     0.30424     
0.29986     0.30422     
0.30016     0.30421     
0.30404     0.30418     
0.30297     0.30424     
0.30073     0.30409     
0.30178     0.30422     
0.30163     0.30421     
0.30077     0.30412     
0.30013     0.30416     
0.30355     0.30421     
0.30489     0.30421     
0.30235     0.30422     
0.30012     0.30406     
0.30264     0.30418     
0.30569     0.30421     
0.30142     0.30407     
0.30158     0.30412     
0.30491     0.30425     
0.30486     0.3041      
0.3016      0.30412     
0.30383     0.30409     
0.30525     0.30409     
0.3036      0.30425     
0.30758     0.30413     
0.30074     0.3041      
0.30287     0.30433     
0.30346     0.30409     
0.30047     0.30415     
0.29852     0.30422     
0.30352     0.30403     
0.30016     0.30415     
0.30181     0.30415     
0.29987     0.30418     
0.30248     0.30409     
0.3034      0.30407     
0.29949     0.30413     
0.29951     0.30404     
0.30505     0.30404     
0.30303     0.30427     
0.30372     0.30419     
0.30586     0.30419     
0.30377     0.30416     
0.30294     0.3041      
0.30175     0.30413     
0.30383     0.30422     
0.30201     0.30422     
0.3011      0.30419     
0.30309     0.30412     
0.30888     0.30412     
0.30708     0.30419     
0.30673     0.30416     
0.30254     0.30418     
0.30091     0.30418     
0.29867     0.30427     
0.29997     0.30421     
0.30065     0.30415     
0.30433     0.30409     
0.30177     0.30416     
0.30299     0.30409     
0.30372     0.30419     
0.29879     0.30399     
0.30294     0.30412     
0.30151     0.30409     
0.30619     0.30419     
0.30274     0.30412     
0.30911     0.30415     
0.30459     0.30421     
0.30134     0.30406     
0.30409     0.30413     
0.30422     0.30404     
0.3003      0.30404     
0.30236     0.30415     
0.30143     0.30399     
0.30491     0.30418     
0.29984     0.30413     
0.30363     0.30409     
0.3019      0.30415     
0.3043      0.30404     
0.30157     0.30403     
0.30247     0.30406     
0.3002      0.30407     
0.29929     0.30409     
0.30247     0.30404     
0.30572     0.30406     
0.29821     0.30406     
0.30219     0.30412     
0.30087     0.30409     
0.30129     0.30409     
0.30122     0.30419     
0.30137     0.30412     
0.30319     0.30422     
0.30489     0.3041      
0.30451     0.30421     
0.30482     0.30415     
0.30151     0.30421     
0.30389     0.30409     
0.30451     0.30413     
0.29971     0.30415     
0.30061     0.30407     
0.30506     0.30416     
0.30459     0.30409     
0.30312     0.3041      
0.30134     0.30413     
0.30436     0.30404     
0.30413     0.30406     
0.30006     0.30415     
0.30435     0.30412     
0.30294     0.30409     
0.29768     0.30396     
0.30378     0.30396     
0.29955     0.3041      
0.30586     0.30407     
0.30343     0.30404     
0.30813     0.30406     
0.30296     0.30401     
0.30062     0.30399     
0.30369     0.30404     
0.30267     0.30415     
0.30395     0.30407     
0.3048      0.3041      
0.30448     0.30403     
0.30058     0.30404     
0.30396     0.30409     
0.30369     0.30406     
0.29826     0.30399     
0.30158     0.30399     
0.30178     0.30399     
0.29957     0.30407     
0.29981     0.30399     
0.30396     0.30416     
0.30206     0.30416     
0.30114     0.30395     
0.30219     0.30406     
0.30233     0.30409     
0.30082     0.30406     
0.30435     0.30415     
0.30038     0.30399     
0.30273     0.30412     
0.30247     0.30403     
0.30589     0.30398     
0.30027     0.30409     
0.30637     0.30404     
0.30531     0.30403     
0.305       0.30406     
0.30326     0.30392     
0.30363     0.30401     
0.30299     0.3041      
0.30181     0.30399     
0.30433     0.30401     
0.30346     0.30398     
0.30316     0.30401     
0.29983     0.30407     
0.30003     0.30407     
0.30143     0.30412     
0.30279     0.30398     
0.30023     0.30398     
0.30142     0.30409     
0.30413     0.30404     
0.30285     0.30401     
0.30195     0.30406     
0.30563     0.30406     
0.30058     0.30398     
0.30122     0.30398     
0.30357     0.30389     
0.30227     0.30396     
0.30085     0.30409     
0.30802     0.30403     
0.30088     0.30393     
0.30135     0.30398     
0.30773     0.30403     
0.30146     0.30389     
0.30079     0.30396     
0.3061      0.30396     
0.30372     0.30406     
0.30146     0.30398     
0.30265     0.30396     
0.30392     0.30393     
0.29688     0.30401     
0.30062     0.30412     
0.30299     0.30406     
0.30271     0.30404     
0.30398     0.30393     
0.30052     0.30407     
0.30059     0.30395     
0.3043      0.3041      
0.30151     0.30403     
0.30283     0.30401     
0.30377     0.30396     
0.29438     0.30407     
0.30674     0.3041      
0.3037      0.30416     
0.30045     0.30407     
0.30625     0.30401     
0.30468     0.30403     
0.30262     0.30396     
0.30299     0.30399     
0.30131     0.30403     
0.3034      0.30413     
0.30343     0.30406     
0.30508     0.30401     
0.30493     0.30412     
0.30326     0.30413     
0.30445     0.30415     
0.30395     0.3041      
0.29958     0.30404     
0.30445     0.30386     
0.30561     0.30395     
0.30161     0.30406     
0.30229     0.30398     
0.30444     0.30401     
0.29971     0.30401     
0.30135     0.30399     
0.30294     0.30412     
0.30081     0.30407     
0.30465     0.30399     
0.3028      0.30401     
0.30161     0.30399     
0.30395     0.30412     
0.30474     0.30409     
0.3077      0.30407     
0.30326     0.30396     
0.30415     0.30416     
0.30163     0.30399     
0.30424     0.30403     
0.30374     0.30396     
0.30222     0.30393     
0.30064     0.30393     
0.30258     0.30395     
0.29908     0.30406     
0.30187     0.30401     
0.30088     0.30401     
0.30113     0.30399     
0.30305     0.30407     
0.30004     0.30406     
0.30216     0.30399     
0.30526     0.30399     
0.30305     0.30406     
0.29904     0.30401     
0.30531     0.30398     
0.30149     0.30407     
0.30183     0.30412     
0.30103     0.30399     
0.30227     0.30404     
0.30108     0.30406     
0.30465     0.30406     
0.30212     0.30406     
0.30235     0.30399     
0.30351     0.30399     
0.30134     0.30409     
0.30372     0.30407     
0.30038     0.30415     
0.30085     0.30404     
0.30058     0.30396     
0.30106     0.30412     
0.30242     0.30403     
0.30171     0.30399     
0.3043      0.30404     
0.29807     0.30409     
0.30386     0.30407     
0.30378     0.30409     
0.30044     0.30406     
0.30581     0.30398     
0.30106     0.30392     
0.30279     0.30396     
0.3056      0.30396     
0.30007     0.30407     
0.30106     0.30389     
0.30735     0.30393     
0.30633     0.30403     
0.30703     0.30413     
0.30573     0.30406     
0.30009     0.30393     
0.30503     0.30406     
0.29676     0.30395     
0.3032      0.30409     
0.30308     0.30421     
0.3023      0.3039      
0.30378     0.30406     
0.30328     0.30401     
0.30401     0.30421     
0.30253     0.30412     
0.29806     0.30396     
0.29827     0.30399     
0.30595     0.30393     
0.30183     0.30393     
0.3014      0.3041      
0.30084     0.30401     
0.29987     0.30403     
0.30659     0.30406     
0.2985      0.30412     
0.30369     0.30396     
0.30715     0.30396     
0.30013     0.30393     
0.30328     0.30401     
0.30178     0.30407     
0.30093     0.30404     
0.30415     0.30407     
0.30027     0.30406     
0.30146     0.30396     
0.30178     0.30404     
0.30337     0.30399     
0.30204     0.30399     
0.30322     0.30407     
0.30291     0.30403     
0.30139     0.30406     
0.30473     0.30398     
0.30317     0.30393     
0.3028      0.30399     
0.30551     0.30404     
0.30163     0.30401     
0.30369     0.30401     
0.30178     0.30396     
0.30268     0.30406     
0.30555     0.30401     
0.30129     0.30404     
0.30528     0.30404     
0.30381     0.30403     
0.29754     0.30407     
0.29931     0.30398     
0.31156     0.3039      
0.30294     0.30398     
0.29937     0.30396     
0.30442     0.30392     
0.30052     0.30401     
0.30039     0.30398     
0.30265     0.30398     
0.30425     0.30399     
0.30239     0.30398     
0.30898     0.3038      
0.30345     0.30383     
0.30215     0.30392     
0.3034      0.30386     
0.30354     0.30374     
0.30132     0.30378     
0.31735     0.3038      
0.30538     0.30381     
0.31196     0.30381     
0.31481     0.30401     
0.30778     0.3039      
0.31445     0.30393     
0.30146     0.30396     
0.31367     0.30387     
0.29919     0.30409     
0.29987     0.30398     
0.29754     0.30398     
0.29307     0.30381     
0.29568     0.30395     
0.29678     0.30389     
0.29246     0.30395     
0.29473     0.30372     
0.29444     0.30398     
0.29063     0.30393     
0.29347     0.30374     
0.29777     0.30372     
0.29511     0.30375     
0.29556     0.30374     
0.29543     0.30369     
