# Freq.    Re    Im
145.377    8.97012    -12.0556  
147.484    9.14759    -11.9418  
149.622    9.32365    -11.8255  
151.79     9.49825    -11.7066  
153.991    9.67135    -11.5851  
156.223    9.81881    -11.5096  
158.487    9.96581    -11.4323  
160.785    10.1123    -11.3533  
163.115    10.2584    -11.2725  
165.48     10.4039    -11.1899  
167.878    10.6225    -11.0356  
170.312    10.839     -10.8772  
172.78     11.0532    -10.7145  
175.285    11.265     -10.5478  
177.826    11.4745    -10.3771  
180.403    11.5575    -10.2308  
183.018    11.6387    -10.084   
185.671    11.7182    -9.93669  
188.362    11.7959    -9.78887  
191.093    11.8719    -9.64059  
193.863    12.0652    -9.51892  
196.673    12.2576    -9.39394  
199.524    12.4492    -9.26565  
202.416    12.6399    -9.13402  
205.35     12.8296    -8.99907  
208.326    12.96      -8.87372  
211.346    13.0892    -8.74662  
214.41     13.2173    -8.61778  
217.518    13.3442    -8.4872   
220.671    13.4699    -8.35489  
223.869    13.5792    -8.23944  
227.114    13.6875    -8.12269  
230.406    13.795     -8.00463  
233.746    13.9015    -7.88528  
237.134    14.0071    -7.76464  
240.572    14.118     -7.54615  
244.059    14.2256    -7.32609  
247.596    14.3297    -7.1045   
251.185    14.4303    -6.88145  
254.826    14.5275    -6.65699  
258.52     14.6129    -6.49317  
262.267    14.6964    -6.32826  
266.069    14.778     -6.16229  
269.926    14.8578    -5.99529  
273.838    14.9357    -5.82726  
277.808    15.0322    -5.6422   
281.835    15.1265    -5.45562  
285.92     15.2185    -5.26756  
290.064    15.3082    -5.07804  
294.269    15.3956    -4.8871   
298.534    15.4962    -4.72697  
302.862    15.5954    -4.56522  
307.252    15.6931    -4.40188  
311.705    15.7891    -4.23695  
316.224    15.8836    -4.07044  
320.807    15.927     -3.9027   
325.458    15.9686    -3.7345   
330.175    16.0084    -3.56585  
334.961    16.0464    -3.39678  
339.816    16.0827    -3.2273   
344.742    16.2525    -3.0821   
349.739    16.4223    -2.93386  
354.809    16.5918    -2.78256  
359.952    16.7612    -2.62817  
365.169    16.9304    -2.47066  
370.463    16.9019    -2.30672  
375.833    16.8721    -2.14354  
381.28     16.8408    -1.98113  
386.807    16.8081    -1.81949  
392.414    16.774     -1.65865  
398.102    16.8248    -1.44984  
403.873    16.873     -1.24     
409.727    16.9187    -1.02919  
415.666    16.9618    -0.817424 
421.691    17.0022    -0.604738 
427.804    17.0059    -0.42949  
434.005    17.0077    -0.254231 
440.296    17.0078    -0.0789789
446.678    17.006     0.0962467 
453.153    17.0024    0.271428  
459.721    17.1084    0.478793  
466.385    17.2125    0.688772  
473.145    17.3147    0.901358  
480.004    17.415     1.11654   
486.961    17.5133    1.33433   
494.02     17.4901    1.48264   
501.181    17.4656    1.63066   
508.446    17.4399    1.77836   
515.816    17.4129    1.92575   
523.292    17.3847    2.07281   
530.878    17.4164    2.28603   
538.573    17.4456    2.50032   
546.38     17.4723    2.71565   
554.299    17.4966    2.93199   
562.334    17.5184    3.14933   
570.485    17.5078    3.3321    
578.755    17.4953    3.51499   
587.144    17.4809    3.69798   
595.654    17.4646    3.88105   
604.289    17.4464    4.06417   
613.048    17.5074    4.30685   
621.934    17.5659    4.55184   
630.949    17.6216    4.79912   
640.095    17.6746    5.04867   
649.373    17.7249    5.30047   
658.786    17.7276    5.49023   
668.335    17.7284    5.6806    
678.023    17.7274    5.87156   
687.851    17.7246    6.0631    
697.822    17.7198    6.25521   
707.937    17.7214    6.45836   
718.198    17.721     6.66228   
728.609    17.7185    6.86694   
739.17     17.7138    7.07233   
749.885    17.7071    7.27843   
760.754    17.7532    7.50592   
771.782    17.7974    7.73542   
782.969    17.8395    7.96691   
794.318    17.8796    8.20038   
805.832    17.9176    8.43584   
817.513    17.9306    8.65929   
829.363    17.9414    8.88406   
841.384    17.95      9.11016   
853.58     17.9564    9.33756   
865.953    17.9606    9.56624   
878.505    17.9989    9.804     
891.239    18.0353    10.0438   
904.158    18.0696    10.2857   
917.264    18.1019    10.5296   
930.56     18.1321    10.7756   
944.049    18.1161    11.0421   
957.733    18.097     11.31     
971.615    18.0747    11.5792   
985.699    18.0493    11.8497   
999.987    18.0207    12.1215   
1014.48    18.0483    12.4285   
1029.19    18.0729    12.7387   
1044.11    18.0942    13.0518   
1059.24    18.1123    13.368    
1074.59    18.127     13.6872   
1090.17    18.1315    13.9217   
1105.97    18.134     14.1578   
1122       18.1347    14.3954   
1138.27    18.1334    14.6345   
1154.77    18.1302    14.8751   
1171.51    18.1439    15.1674   
1188.49    18.1551    15.4622   
1205.71    18.1636    15.7596   
1223.19    18.1695    16.0596   
1240.92    18.1726    16.3621   
1258.91    18.1305    16.6503   
1277.16    18.0853    16.94     
1295.67    18.037     17.2312   
1314.45    17.9855    17.5238   
1333.5     17.9307    17.8178   
1352.83    17.9811    18.1554   
1372.44    18.0293    18.4972   
