# Freq.    Re    Im
7.67351    -0.368306  -0.0597416
7.71781    -0.368293  -0.0601379
7.76236    -0.368279  -0.0605342
7.80718    -0.368264  -0.0609306
7.85225    -0.368249  -0.061327 
7.89758    -0.368234  -0.0617234
7.94317    -0.368218  -0.0621199
7.98903    -0.368202  -0.0625164
8.03515    -0.368217  -0.062833 
8.08154    -0.368233  -0.0631497
8.12819    -0.368248  -0.0634665
8.17512    -0.368263  -0.0637833
8.22231    -0.368278  -0.0641002
8.26978    -0.368293  -0.0644172
8.31752    -0.368307  -0.0647343
8.36554    -0.368321  -0.0650514
8.41384    -0.368335  -0.0653686
8.46241    -0.368348  -0.0656859
8.51126    -0.368361  -0.0660849
8.5604     -0.368372  -0.0664841
8.60982    -0.368384  -0.0668833
8.65952    -0.368394  -0.0672826
8.70952    -0.368405  -0.0676821
8.7598     -0.368415  -0.0680816
8.81037    -0.368425  -0.0684812
8.86123    -0.368434  -0.0688809
8.91239    -0.368443  -0.0692808
8.96384    -0.368451  -0.0696806
9.01559    -0.368457  -0.0700624
9.06763    -0.368463  -0.0704442
9.11998    -0.368468  -0.0708261
9.17263    -0.368473  -0.0712081
9.22559    -0.368477  -0.0715902
9.27885    -0.368481  -0.0719724
9.33241    -0.368484  -0.0723546
9.38629    -0.368487  -0.0727369
9.44048    -0.36849   -0.0731193
9.49498    -0.368493  -0.0735018
9.54979    -0.368561  -0.0739474
9.60493    -0.36863   -0.0743933
9.66038    -0.368698  -0.0748396
9.71615    -0.368765  -0.075286 
9.77224    -0.368832  -0.0757327
9.82865    -0.368898  -0.0761797
9.88539    -0.368964  -0.0766269
9.94246    -0.369029  -0.0770744
9.99986    -0.369094  -0.0775222
10.0576    -0.369159  -0.0779704
10.1157    -0.369122  -0.0784077
10.1741    -0.369084  -0.0788451
10.2328    -0.369046  -0.0792825
10.2919    -0.369007  -0.0797199
10.3513    -0.368968  -0.0801573
10.411     -0.368928  -0.0805948
10.4711    -0.368888  -0.0810322
10.5316    -0.368847  -0.0814697
10.5924    -0.368806  -0.0819072
10.6535    -0.368764  -0.0823447
10.715     -0.368801  -0.0828479
10.7769    -0.368837  -0.0833514
10.8391    -0.368873  -0.0838552
10.9017    -0.368908  -0.0843591
10.9646    -0.368942  -0.0848633
11.0279    -0.368976  -0.0853677
11.0916    -0.369009  -0.0858724
11.1556    -0.369042  -0.0863773
11.22      -0.369073  -0.0868825
11.2848    -0.369105  -0.0873878
11.35      -0.369135  -0.0878934
11.4155    -0.369169  -0.0883616
11.4814    -0.369202  -0.08883  
11.5477    -0.369235  -0.0892985
11.6143    -0.369267  -0.0897673
11.6814    -0.369299  -0.0902364
11.7488    -0.36933   -0.0907056
11.8166    -0.369361  -0.091175 
11.8849    -0.369391  -0.0916447
11.9535    -0.36942   -0.0921145
12.0225    -0.369449  -0.0925846
12.0919    -0.369502  -0.0931071
12.1617    -0.369554  -0.0936299
12.2319    -0.369605  -0.094153 
12.3025    -0.369655  -0.0946765
12.3735    -0.369705  -0.0952002
12.445     -0.369754  -0.0957243
12.5168    -0.369803  -0.0962486
12.5891    -0.369851  -0.0967733
12.6618    -0.369898  -0.0972983
12.7349    -0.369944  -0.0978236
12.8084    -0.369905  -0.0984465
12.8823    -0.369865  -0.0990695
12.9567    -0.369824  -0.0996927
13.0315    -0.369782  -0.100316 
13.1067    -0.369739  -0.100939 
13.1824    -0.369695  -0.101563 
13.2585    -0.36965   -0.102186 
13.335     -0.369604  -0.10281  
13.412     -0.369557  -0.103434 
13.4894    -0.369508  -0.104058 
13.5673    -0.369568  -0.104652 
13.6456    -0.369626  -0.105245 
13.7244    -0.369684  -0.10584  
13.8037    -0.36974   -0.106434 
13.8833    -0.369796  -0.107029 
13.9635    -0.369851  -0.107625 
14.0441    -0.369906  -0.108221 
14.1252    -0.369959  -0.108817 
14.2067    -0.370012  -0.109414 
14.2887    -0.370064  -0.110011 
14.3712    -0.370079  -0.110592 
14.4542    -0.370094  -0.111173 
14.5376    -0.370107  -0.111754 
14.6216    -0.37012   -0.112336 
14.706     -0.370132  -0.112917 
14.7909    -0.370143  -0.113499 
14.8763    -0.370154  -0.114082 
14.9621    -0.370163  -0.114665 
15.0485    -0.370172  -0.115247 
15.1354    -0.37018   -0.115831 
15.2228    -0.370231  -0.116506 
15.3107    -0.370281  -0.117183 
15.3991    -0.37033   -0.11786  
15.4879    -0.370377  -0.118537 
15.5774    -0.370424  -0.119215 
15.6673    -0.370469  -0.119893 
15.7577    -0.370513  -0.120572 
15.8487    -0.370557  -0.121251 
15.9402    -0.370599  -0.121931 
16.0322    -0.37064   -0.122611 
16.1248    -0.370656  -0.123346 
16.2179    -0.370671  -0.124082 
16.3115    -0.370685  -0.124818 
16.4057    -0.370697  -0.125555 
16.5004    -0.370708  -0.126292 
16.5956    -0.370718  -0.127029 
16.6914    -0.370726  -0.127767 
16.7878    -0.370733  -0.128506 
16.8847    -0.370739  -0.129245 
16.9822    -0.370744  -0.129984 
17.0802    -0.370738  -0.13072  
17.1788    -0.370731  -0.131456 
17.278     -0.370723  -0.132192 
17.3778    -0.370713  -0.132929 
17.4781    -0.370702  -0.133666 
17.579     -0.37069   -0.134404 
17.6805    -0.370676  -0.135142 
17.7825    -0.370661  -0.135881 
17.8852    -0.370644  -0.13662  
17.9885    -0.370627  -0.137359 
18.0923    -0.37063   -0.138058 
18.1968    -0.370631  -0.138757 
18.3018    -0.370631  -0.139457 
18.4075    -0.370631  -0.140157 
18.5137    -0.370629  -0.140858 
18.6206    -0.370626  -0.141559 
18.7281    -0.370621  -0.142261 
18.8362    -0.370616  -0.142963 
18.945     -0.37061   -0.143666 
19.0543    -0.370601  -0.144368 
19.1643    -0.370663  -0.145233 
19.275     -0.370723  -0.146099 
19.3863    -0.370782  -0.146966 
19.4982    -0.370839  -0.147835 
19.6107    -0.370894  -0.148703 
19.7239    -0.370948  -0.149573 
19.8378    -0.370999  -0.150444 
19.9523    -0.37105   -0.151315 
20.0675    -0.371098  -0.152188 
20.1834    -0.371145  -0.153061 
20.2999    -0.37111   -0.153933 
